SignalID,Timestamp,EventCode,EventParam
63082004,2023-03-13 23:00:30.0000000,10,4
63082004,2023-03-13 23:00:30.0000000,10,7
63082004,2023-03-13 23:00:31.0000000,1,2
63082004,2023-03-13 23:00:31.0000000,1,6
63082004,2023-03-13 23:00:56.0000000,8,2
63082004,2023-03-13 23:00:56.0000000,8,6
63082004,2023-03-13 23:01:00.0000000,10,2
63082004,2023-03-13 23:01:00.0000000,10,6
63082004,2023-03-13 23:01:02.0000000,1,4
63082004,2023-03-13 23:01:02.0000000,1,7
63082004,2023-03-13 23:01:12.0000000,8,4
63082004,2023-03-13 23:01:12.0000000,8,7
63082004,2023-03-13 23:01:16.0000000,10,4
63082004,2023-03-13 23:01:16.0000000,10,7
63082004,2023-03-13 23:01:17.0000000,1,2
63082004,2023-03-13 23:01:17.0000000,1,6
63082004,2023-03-13 23:02:51.0000000,8,2
63082004,2023-03-13 23:02:51.0000000,8,6
63082004,2023-03-13 23:02:56.0000000,10,2
63082004,2023-03-13 23:02:56.0000000,10,6
63082004,2023-03-13 23:02:58.0000000,1,4
63082004,2023-03-13 23:02:58.0000000,1,8
63082004,2023-03-13 23:03:08.0000000,8,4
63082004,2023-03-13 23:03:08.0000000,8,8
63082004,2023-03-13 23:03:11.0000000,10,4
63082004,2023-03-13 23:03:11.0000000,10,8
63082004,2023-03-13 23:03:12.0000000,1,2
63082004,2023-03-13 23:03:12.0000000,1,6
63082004,2023-03-13 23:04:54.0000000,8,2
63082004,2023-03-13 23:04:54.0000000,8,6
63082004,2023-03-13 23:04:59.0000000,10,2
63082004,2023-03-13 23:04:59.0000000,10,6
63082004,2023-03-13 23:05:01.0000000,1,4
63082004,2023-03-13 23:05:01.0000000,1,8
63082004,2023-03-13 23:05:11.0000000,8,4
63082004,2023-03-13 23:05:11.0000000,8,8
63082004,2023-03-13 23:05:14.0000000,10,4
63082004,2023-03-13 23:05:14.0000000,10,8
63082004,2023-03-13 23:05:15.0000000,1,2
63082004,2023-03-13 23:05:15.0000000,1,5
63082004,2023-03-13 23:05:21.0000000,8,5
63082004,2023-03-13 23:05:25.0000000,10,5
63082004,2023-03-13 23:05:26.0000000,1,6
63082004,2023-03-13 23:05:51.0000000,8,2
63082004,2023-03-13 23:05:51.0000000,8,6
63082004,2023-03-13 23:05:55.0000000,10,2
63082004,2023-03-13 23:05:55.0000000,10,6
63082004,2023-03-13 23:05:57.0000000,1,3
63082004,2023-03-13 23:05:57.0000000,1,8
63082004,2023-03-13 23:06:07.0000000,8,3
63082004,2023-03-13 23:06:11.0000000,10,3
63082004,2023-03-13 23:06:12.0000000,1,4
63082004,2023-03-13 23:06:22.0000000,8,4
63082004,2023-03-13 23:06:22.0000000,8,8
63082004,2023-03-13 23:06:25.0000000,10,4
63082004,2023-03-13 23:06:25.0000000,10,8
63082004,2023-03-13 23:06:26.0000000,1,2
63082004,2023-03-13 23:06:26.0000000,1,6
63082004,2023-03-13 23:06:51.0000000,8,2
63082004,2023-03-13 23:06:51.0000000,8,6
63082004,2023-03-13 23:06:56.0000000,10,2
63082004,2023-03-13 23:06:56.0000000,10,6
63082004,2023-03-13 23:06:58.0000000,1,3
63082004,2023-03-13 23:06:58.0000000,1,8
63082004,2023-03-13 23:07:09.0000000,8,3
63082004,2023-03-13 23:07:09.0000000,8,8
63082004,2023-03-13 23:07:12.0000000,10,3
63082004,2023-03-13 23:07:12.0000000,10,8
63082004,2023-03-13 23:07:13.0000000,1,2
63082004,2023-03-13 23:07:13.0000000,1,6
63082004,2023-03-13 23:07:48.0000000,8,2
63082004,2023-03-13 23:07:48.0000000,8,6
63082004,2023-03-13 23:07:53.0000000,10,2
63082004,2023-03-13 23:07:53.0000000,10,6
63082004,2023-03-13 23:07:55.0000000,1,4
63082004,2023-03-13 23:07:55.0000000,1,7
63082004,2023-03-13 23:08:05.0000000,8,4
63082004,2023-03-13 23:08:05.0000000,8,7
63082004,2023-03-13 23:08:08.0000000,10,4
63082004,2023-03-13 23:08:08.0000000,10,7
63082004,2023-03-13 23:08:09.0000000,1,2
63082004,2023-03-13 23:08:09.0000000,1,6
63082004,2023-03-13 23:08:34.0000000,8,2
63082004,2023-03-13 23:08:34.0000000,8,6
63082004,2023-03-13 23:08:39.0000000,10,2
63082004,2023-03-13 23:08:39.0000000,10,6
63082004,2023-03-13 23:08:41.0000000,1,4
63082004,2023-03-13 23:08:41.0000000,1,8
63082004,2023-03-13 23:08:51.0000000,8,4
63082004,2023-03-13 23:08:51.0000000,8,8
63082004,2023-03-13 23:08:54.0000000,10,4
